Key,File,Type,UsedInMainMenu,NoTranslate,english,schinese
yfAutomationWorkbench,blocks,Block,,false,Automation Workbench,自动化工作台
yfAutomationWorkbenchDesc,blocks,Block,,false,制造自动化设备、传送带和工厂零件的专用工作台。,制造自动化设备、传送带和工厂零件的专用工作台。
yfAutoFrame,items,Item,,false,自动化机架,自动化机架
yfAutoFrameDesc,items,Item,,false,机器共用的承重结构。,机器共用的承重结构。
yfAutoMotor,items,Item,,false,自动化电机,自动化电机
yfAutoMotorDesc,items,Item,,false,供采矿、输送和分解设备使用的驱动组件。,供采矿、输送和分解设备使用的驱动组件。
yfAutoController,items,Item,,false,自动化控制器,自动化控制器
yfAutoControllerDesc,items,Item,,false,供机器设置配方、库存目标和分拣规则的控制组件。,供机器设置配方、库存目标和分拣规则的控制组件。
yfAutoPump,items,Item,,false,自动化水泵组件,自动化水泵组件
yfAutoPumpDesc,items,Item,,false,供灌溉和食物生产设备使用的流体组件。,供灌溉和食物生产设备使用的流体组件。
yfAutoCutter,items,Item,,false,自动化切削组件,自动化切削组件
yfAutoCutterDesc,items,Item,,false,供采矿与装备分解机器使用的加工组件。,供采矿与装备分解机器使用的加工组件。
yfAutoTransport,items,Item,,false,自动化输送组件,自动化输送组件
yfAutoTransportDesc,items,Item,,false,用于制造传送带和箱间输送设备的运输组件。,用于制造传送带和箱间输送设备的运输组件。
yfAutoInput,blocks,Block,,false,自动化输入箱,自动化输入箱
yfAutoInputDesc,blocks,Block,,false,紧贴分拣机放置，投入待分拣物品；需与分拣机和输出箱由同一玩家放置。打开箱子时暂停搬运。,紧贴分拣机放置，投入待分拣物品；需与分拣机和输出箱由同一玩家放置。打开箱子时暂停搬运。
yfAutoOutput,blocks,Block,,false,自动化输出箱,自动化输出箱
yfAutoOutputDesc,blocks,Block,,false,第一格放一个样品，分拣机只接收相同物品类型，样品不消耗。其余格储存产物。放在分拣机水平4米、上下1米内及同一区块。多个匹配箱优先距离较近的。,第一格放一个样品，分拣机只接收相同物品类型，样品不消耗。其余格储存产物。放在分拣机水平4米、上下1米内及同一区块。多个匹配箱优先距离较近的。
yfAutoSorter,blocks,Block,,false,自动分拣机,自动分拣机
yfAutoSorterDesc,blocks,Block,,false,邻接输入箱和通电的自动化供电接口，按输出箱第一格样品分类；每秒最多搬16件。箱子需同一所有者、同一16×16地图区块。显示运行状态，本体不储物。,邻接输入箱和通电的自动化供电接口，按输出箱第一格样品分类；每秒最多搬16件。箱子需同一所有者、同一16×16地图区块。显示运行状态，本体不储物。
yfAutoPowerPort,blocks,Block,,false,自动化供电接口,自动化供电接口
yfAutoPowerPortDesc,blocks,Block,,false,用接线工具连接发电机，紧贴分拣机的任意一面供电。每个接口需要10W，断电暂停；接口本身不储物。,用接线工具连接发电机，紧贴分拣机的任意一面供电。每个接口需要10W，断电暂停；接口本身不储物。
yfAutoKitchen,blocks,blocks,,false,自动厨房,自动厨房
yfAutoKitchenDesc,blocks,blocks,,false,首格样品选菜品，邻接输入箱放食材及烹饪锅/烤架等工具。沿用已解锁的篝火配方，所有者在线时生产。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。,首格样品选菜品，邻接输入箱放食材及烹饪锅/烤架等工具。沿用已解锁的篝火配方，所有者在线时生产。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。
yfAutoSmelter,blocks,blocks,,false,自动冶炼机,自动冶炼机
yfAutoSmelterDesc,blocks,blocks,,false,输出箱首格放自动化冶炼料样品，输入同类原料。按原版冶炼重量生产；装备不熔炼。样品在自动化工作台制作。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。,输出箱首格放自动化冶炼料样品，输入同类原料。按原版冶炼重量生产；装备不熔炼。样品在自动化工作台制作。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。
yfAutoForge,blocks,blocks,,false,自动锻造机,自动锻造机
