Key,Source,Context,Changes,English,schinese
buffAECNewbieProtection,buffs,Buff,,[50DC50]Newbie protection[-],[50DC50]新手保护[-]
buffAECNewbieProtectionDesc,buffs,Buff,,You are below Game Stage 100. AEC events will not directly target you or alter nearby spawns for you. Heatmap won't affect your surrounding spawns.,你的游戏阶段低于100。AEC事件不会直接以你为目标，也不会为你改变附近的生成；热度系统不会影响你周围的生成。
buffAECSafeZone,buffs,Buff,,[00FF66]Stable Zone[-],[00FF66]稳定区域[-]
buffAECSafeZoneDesc,buffs,Buff,,"Area stable. No active escalation detected in this biome. T05-T15 zombies cannot spawn in the forest biome, but they can spawn in other biomes.",区域状态稳定。该生物群系未检测到活跃升级。森林中不会生成T05至T15僵尸，但其他生物群系仍可能生成。
buffAECHeatL0,buffs,Buff,,[64B4FF]Hazard 0★[-],[64B4FF]危险度 0★[-]
buffAECHeatDescL0,buffs,Buff,,"Zombie activity in this biome is stable. No escalation yet. [0000FF]To increase the hazard lvl, kill zombies in this biome.[-]",该生物群系的僵尸活动稳定，尚未升级。[0000FF]在此生物群系击杀僵尸可提高危险等级。[-]
buffAECHeatL1T5,buffs,Buff,,[AAAAAA]Hazard 1★[-],[AAAAAA]危险度 1★[-]
buffAECHeatL1T6,buffs,Buff,,[AAAAAA]Hazard 1★[-],[AAAAAA]危险度 1★[-]
buffAECHeatL1T7,buffs,Buff,,[AAAAAA]Hazard 1★[-],[AAAAAA]危险度 1★[-]
buffAECHeatL1T8,buffs,Buff,,[AAAAAA]Hazard 1★[-],[AAAAAA]危险度 1★[-]
buffAECHeatL1T9,buffs,Buff,,[AAAAAA]Hazard 1★[-],[AAAAAA]危险度 1★[-]
buffAECHeatL1T10,buffs,Buff,,[AAAAAA]Hazard 1★[-],[AAAAAA]危险度 1★[-]
buffAECHeatL1T11,buffs,Buff,,[AAAAAA]Hazard 1★[-],[AAAAAA]危险度 1★[-]
buffAECHeatL1T12,buffs,Buff,,[AAAAAA]Hazard 1★[-],[AAAAAA]危险度 1★[-]
buffAECHeatL1T13,buffs,Buff,,[AAAAAA]Hazard 1★[-],[AAAAAA]危险度 1★[-]
buffAECHeatL1T14,buffs,Buff,,[AAAAAA]Hazard 1★[-],[AAAAAA]危险度 1★[-]
buffAECHeatL1T15,buffs,Buff,,[AAAAAA]Hazard 1★[-],[AAAAAA]危险度 1★[-]
buffAECHeatL2T5,buffs,Buff,,[FFCC00]Hazard 2★[-],[FFCC00]危险度 2★[-]
buffAECHeatL2T6,buffs,Buff,,[FFCC00]Hazard 2★[-],[FFCC00]危险度 2★[-]
buffAECHeatL2T7,buffs,Buff,,[FFCC00]Hazard 2★[-],[FFCC00]危险度 2★[-]
buffAECHeatL2T8,buffs,Buff,,[FFCC00]Hazard 2★[-],[FFCC00]危险度 2★[-]
buffAECHeatL2T9,buffs,Buff,,[FFCC00]Hazard 2★[-],[FFCC00]危险度 2★[-]
buffAECHeatL2T10,buffs,Buff,,[FFCC00]Hazard 2★[-],[FFCC00]危险度 2★[-]
buffAECHeatL2T11,buffs,Buff,,[FFCC00]Hazard 2★[-],[FFCC00]危险度 2★[-]
buffAECHeatL2T12,buffs,Buff,,[FFCC00]Hazard 2★[-],[FFCC00]危险度 2★[-]
buffAECHeatL2T13,buffs,Buff,,[FFCC00]Hazard 2★[-],[FFCC00]危险度 2★[-]
buffAECHeatL2T14,buffs,Buff,,[FFCC00]Hazard 2★[-],[FFCC00]危险度 2★[-]
buffAECHeatL2T15,buffs,Buff,,[FFCC00]Hazard 2★[-],[FFCC00]危险度 2★[-]
buffAECHeatL3T5,buffs,Buff,,[FF9900]Hazard 3★[-],[FF9900]危险度 3★[-]
buffAECHeatL3T6,buffs,Buff,,[FF9900]Hazard 3★[-],[FF9900]危险度 3★[-]
buffAECHeatL3T7,buffs,Buff,,[FF9900]Hazard 3★[-],[FF9900]危险度 3★[-]
buffAECHeatL3T8,buffs,Buff,,[FF9900]Hazard 3★[-],[FF9900]危险度 3★[-]
buffAECHeatL3T9,buffs,Buff,,[FF9900]Hazard 3★[-],[FF9900]危险度 3★[-]
buffAECHeatL3T10,buffs,Buff,,[FF9900]Hazard 3★[-],[FF9900]危险度 3★[-]
