Key,Source,Context,Changes,English,Koreana

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,XP 획득: 처치
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,XP 획득: 근접 처치
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,공격 속도: 향상
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,체력 회복 : 강화
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,체력 회복: 근접 공격
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,XP 획득: 함정
statBookwormChance,ui_display,Item stat,,Search for knowledge,지식 검색
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,추가 스킬 포인트 확률
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,재장전 속도: 포탑
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,내구도 소모 : 수리
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]«부스트»[-] 예비 목재 분배기
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,"Gatherer 방어구를 위한 """"부스트""""입니다. 방탄복에 장착됩니다.\n\n수확되는 목재의 양이 [DECEA3]25%[-] 증가했습니다."
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666] 《부스트》[-] 예비철브레이커
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,"Gatherer 방어구를 위한 """"부스트""""입니다. 방탄복에 장착됩니다.\n\n철과 납 채굴량이 [DECEA3]25%[-]만큼 증가했습니다."
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666] 《부스트》[-] 예비 벙커 버스터
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].","Gatherer 방어구를 위한 ""부스트""입니다. 방탄복에 설치됩니다.\n\n셰일, 석탄, 질산칼륨 추출량이 [DECEA3]25%[-] 증가했습니다."
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]«부스트»[-] 예비 점토 채굴기
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,"Gatherer 방어구를 위한 """"부스트""""입니다. 방탄복에 장착됩니다.\n\n점토 채굴량이 [DECEA3]25%[-] 증가했습니다."
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]<부스트>[-]스피어스
