Key,Source,Context,Changes,English,French

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,Gain d'XP : tués
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,Gain d'XP : tués au corps à corps
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,Vitesse d'attaque : améliorée
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,Récupération d'endurance : améliorée
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,Récupération d'endurance : mêlée
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,Gain d'XP : Pièges
statBookwormChance,ui_display,Item stat,,Search for knowledge,Rechercher des connaissances
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,Chance de points de compétence supplémentaire
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,Vitesse de rechargement : Tourelles
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,Consommation de durabilité : Réparation
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]«Boost»[-] Fendeuse à bois de rechange
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,Un «Boost» pour l'armure du Rassembleur. Installé dans un gilet pare-balles.\n\nLa quantité de bois récoltée a été augmentée de [DECEA3]25 %[-].
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666]«Boost»[-] Brise-fer de rechange
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,Un «Boost» pour l'armure du Rassembleur. Installé dans les gilets pare-balles.\n\nLa quantité de fer et de plomb extraite a été augmentée de [DECEA3]25 %[-].
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666]«Boost»[-] Buster de bunker de rechange
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].","Un «Boost» pour l'armure du Rassembleur. Installé dans un gilet pare-balles.\n\nLa quantité de schiste, de charbon et de nitrate de potassium extraite a été augmentée de [DECEA3]25 %[-]."
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]«Boost»[-] Pelle d'argile de rechange
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,Un «Boost» pour l'armure du Rassembleur. Installé dans les gilets pare-balles.\n\nLa quantité d'argile extraite a été augmentée de [DECEA3]25 %[-].
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]«Boost»[-] Lances
