Key,Source,Context,Changes,English,Japanese

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,XP獲得: キル数
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,XP獲得: 近接キル
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,攻撃速度：ブースト
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,スタミナ回復：ブースト
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,スタミナ回復：近接
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,XP獲得: トラップ
statBookwormChance,ui_display,Item stat,,Search for knowledge,知識を探す
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,追加スキルポイントチャンス
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,リロード速度: タレット
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,耐久力消費：修理
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]«ブースト»[-] スペアウッドスプリッター
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,ギャザラー防具の《ブースト》。ボディーアーマーに取り付けられます。\n\n木材の収穫量が[DECEA3]25%[-]増加しました。
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666]《ブースト》[-] スペアアイアンブレイカー
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,ギャザラー防具の《ブースト》。防弾チョッキに取り付けられています。\n\n採掘される鉄と鉛の量が[DECEA3]25%[-]増加しました。
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666]«ブースト»[-] スペアバンカーバスター
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].",ギャザラー防具の《ブースト》。防弾チョッキに取り付けられています。\n\nシェール、石炭、硝酸カリウムの抽出量が[DECEA3]25%[-]増加しました。
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]«ブースト»[-] スペアクレイディガー
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,ギャザラー防具の《ブースト》。ボディーアーマーに取り付けられています。\n\n採掘される粘土の量が[DECEA3]25%[-]増加しました。
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]«ブースト»[-] スピア
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,改良された装甲のための強化。手袋に取り付けられます。\n\n改良された鎧のフルセットを着用すると、槍の熟練度にボーナスが与えられます。
