Key,Source,Context,Changes,English,Russian

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,Опыт за убийства
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,Опыт за убийства: Ближний бой
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,Скорость атаки: Усиление
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,Восст. выносливости: Усиление
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,Восст. выносливости: Ближний бой
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,Получаемый опыт: Ловушки
statBookwormChance,ui_display,Item stat,,Search for knowledge,Поиск знаний
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,Шанс доп. очка навыка
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,Скорость перезарядки: Турели
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,Расход прочности: Ремонт
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]«Усиление»[-] Запасной Колун
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,«Усиление» для брони Добытчика. Устанавливается в броню тела.\n\nКоличество добываемой древесины увеличено на [DECEA3]25%[-].
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666]«Усиление»[-] Запасной Железолом
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,«Усиление» для брони Добытчика. Устанавливается в броню тела.\n\nКоличество добываемого железа и свинца увеличено на [DECEA3]25%[-].
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666]«Усиление»[-] Запасной Камнелом
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].","«Усиление» для брони Добытчика. Устанавливается в броню тела.\n\nКоличество добываемого сланца, угля и нитрата калия увеличено на [DECEA3]25%[-]."
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]«Усиление»[-] Запасной Глинокоп
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,«Усиление» для брони Добытчика. Устанавливается в броню тела.\n\nКоличество добываемой глины увеличено на [DECEA3]25%[-].
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]«Усиление»[-] Копья
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению копьями при ношении полного комплекта улучшенной брони.
