Key,Source,Context,Changes,English,Polish

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,Zyski XP: Zabija
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,Zyski XP: Zabójstwa w walce wręcz
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,Szybkość ataku: zwiększona
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,Regeneracja wytrzymałości: zwiększona
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,Regeneracja wytrzymałości: walka wręcz
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,Zyski XP: Pułapki
statBookwormChance,ui_display,Item stat,,Search for knowledge,Szukaj wiedzy
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,Dodatkowa szansa na punkty umiejętności
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,Szybkość przeładowania: Wieże
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,Trwałość Zużycie: Naprawa
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666] «Boost» [-] Zapasowa łuparka do drewna
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,«Wzmocnienie» pancerza Zbieraczy. Instalowany w kamizelce kuloodpornej.\n\nIlość pozyskanego drewna została zwiększona o [DECEA3]25%[-].
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666] «Wzmocnienie» [-] Zapasowy łamacz żelaza
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,«Wzmocnienie» pancerza Zbieraczy. Instalowany w kamizelce kuloodpornej.\n\nIlość wydobywanego żelaza i ołowiu została zwiększona o [DECEA3]25%[-].
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666] «Wzmocnienie» [-] Zapasowy niszczyciel bunkra
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].","«Wzmocnienie» pancerza Zbieraczy. Instalowany w kamizelce kuloodpornej.\n\nIlość wydobywanego łupku, węgla i azotanu potasu została zwiększona o [DECEA3]25%[-]."
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666] «Wzmocnienie» [-] Zapasowa koparka do gliny
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,«Wzmocnienie» pancerza Zbieraczy. Instalowany w kamizelce kuloodpornej.\n\nIlość wydobywanej gliny została zwiększona o [DECEA3]25%[-].
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666] «Wzmocnienie» [-] Włócznie
