Key,Source,Context,Changes,English,Russian,Schinese
statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,Опыт за убийства,XP 增益：击杀
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,Опыт за убийства: Ближний бой,XP 增益：近战击杀
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,Скорость атаки: Усиление,攻击速度：提升
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,Восст. выносливости: Усиление,体力恢复：增强
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,Восст. выносливости: Ближний бой,体力恢复：近战
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,Получаемый опыт: Ловушки,XP 增益：陷阱
statBookwormChance,ui_display,Item stat,,Search for knowledge,Поиск знаний,搜索知识
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,Шанс доп. очка навыка,额外技能点几率
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,Скорость перезарядки: Турели,装填速度：炮塔
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,Расход прочности: Ремонт,耐久消耗：修复
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]«Усиление»[-] Запасной Колун,[FF6666]«强化»[-] 备用伐木器
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,«Усиление» для брони Добытчика. Устанавливается в броню тела.\n\nКоличество добываемой древесины увеличено на [DECEA3]25%[-].,采集者护甲专用《强化》改装件，安装于胸甲。\n\n木材采集量提高[DECEA3]25%[-]。
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666]«Усиление»[-] Запасной Железолом,[FF6666]«强化»[-] 备用破铁器
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,«Усиление» для брони Добытчика. Устанавливается в броню тела.\n\nКоличество добываемого железа и свинца увеличено на [DECEA3]25%[-].,采集者护甲专用《强化》改装件，安装于胸甲。\n\n铁与铅的采集量提高[DECEA3]25%[-]。
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666]«Усиление»[-] Запасной Камнелом,[FF6666]«强化»[-] 备用破壁器
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].","«Усиление» для брони Добытчика. Устанавливается в броню тела.\n\nКоличество добываемого сланца, угля и нитрата калия увеличено на [DECEA3]25%[-].",采集者护甲专用《强化》改装件，安装于胸甲。\n\n油页岩、煤与硝酸钾的采集量提高[DECEA3]25%[-]。
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]«Усиление»[-] Запасной Глинокоп,[FF6666]«强化»[-] 备用挖土器
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,«Усиление» для брони Добытчика. Устанавливается в броню тела.\n\nКоличество добываемой глины увеличено на [DECEA3]25%[-].,采集者护甲专用《强化》改装件，安装于胸甲。\n\n黏土采集量提高[DECEA3]25%[-]。
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]«Усиление»[-] Копья,[FF6666]«强化»[-] 长矛
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению копьями при ношении полного комплекта улучшенной брони.,改良型护甲专用强化改装件，安装于手套。\n\n穿戴全套改良型护甲时，提高长矛熟练度。
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]«Усиление»[-] Дубины,[FF6666]«强化»[-] 棍棒
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению дубинами при ношении полного комплекта улучшенной брони.,改良型护甲专用强化改装件，安装于手套。\n\n穿戴全套改良型护甲时，提高棍棒熟练度。
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]«Усиление»[-] Кувалды,[FF6666]«强化»[-] 大锤
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению кувалдами при ношении полного комплекта улучшенной брони.,改良型护甲专用强化改装件，安装于手套。\n\n穿戴全套改良型护甲时，提高大锤熟练度。
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]«Усиление»[-] Кастеты,[FF6666]«强化»[-] 拳套
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению кастетами при ношении полного комплекта улучшенной брони.,改良型护甲专用强化改装件，安装于手套。\n\n穿戴全套改良型护甲时，提高拳套熟练度。
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]«Усиление»[-] Ножи и Мачете,[FF6666]«强化»[-] 刀具与砍刀
