Key,Source,Context,Changes,English,Brazilian

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,Ganho de XP: mortes
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,Ganho de XP: mortes corpo a corpo
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,Velocidade de Ataque: Aumentada
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,Recuperação de Vigor: Impulsionada
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,Recuperação de Vigor: Corpo a Corpo
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,Ganho de XP: Armadilhas
statBookwormChance,ui_display,Item stat,,Search for knowledge,Procure por conhecimento
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,Chance extra de pontos de habilidade
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,Velocidade de recarga: Torretas
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,Consumo de durabilidade: Reparo
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]«Boost»[-] Divisor de madeira sobressalente
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,Um «Boost» para a armadura Gatherer. Instalado em coletes à prova de balas.\n\nA quantidade de madeira colhida aumentou em [DECEA3]25%[-].
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666]«Boost»[-] Disjuntor de ferro sobressalente
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,Um «Boost» para a armadura Gatherer. Instalado em coletes à prova de balas.\n\nA quantidade de ferro e chumbo extraídos aumentou em [DECEA3]25%[-].
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666]«Boost»[-] Bunker Buster sobressalente
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].","Um «Boost» para a armadura Gatherer. Instalado em coletes à prova de balas.\n\nA quantidade extraída de xisto, carvão e nitrato de potássio aumentou em [DECEA3]25%[-]."
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]«Boost»[-] Escavador de argila sobressalente
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,Um «Boost» para a armadura Gatherer. Instalado em coletes à prova de balas.\n\nA quantidade de argila extraída aumentou em [DECEA3]25%[-].
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]«Boost»[-] Lanças
