Key,Source,Context,Changes,English,Spanish

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,Ganancia de XP: Muertes
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,Ganancia de XP: Muertes cuerpo a cuerpo
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,Velocidad de ataque: Mejorada
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,Recuperación de resistencia: Mejorada
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,Recuperación de resistencia: Cuerpo a cuerpo
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,Ganancia de XP: Trampas
statBookwormChance,ui_display,Item stat,,Search for knowledge,Búsqueda de conocimiento
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,Probabilidad de obtener un punto de habilidad adicional
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,Velocidad de recarga: Torretas
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,Consumo de durabilidad: Reparación
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]Mejora[-] Partidor de madera de repuesto
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,Mejora para la armadura del Recolector. Instalada en la armadura corporal.\n\nLa cantidad de madera recolectada ha aumentado un [DECEA3]25%[-].
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666]Mejora[-] Rompehierros de repuesto
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,Mejora para la armadura del Recolector. Instalada en la armadura corporal.\n\nLa cantidad de hierro y plomo extraídos ha aumentado un [DECEA3]25%[-].
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666]Mejora[-] Destructor de búnkeres de repuesto
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].","Mejora para la armadura del Recolector. Instalada en la armadura corporal.\n\nLa cantidad de esquisto, carbón y nitrato de potasio extraídos ha aumentado un [DECEA3]25%[-]."
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]Mejora[-] Excavadora de arcilla de repuesto
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,Mejora para la armadura del Recolector. Instalada en la armadura corporal.\n\nLa cantidad de arcilla extraída ha aumentado un [DECEA3]25%[-].
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]Mejora[-] Lanzas
